PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
59.802283039073785,118.62120693020051,12.193865425807584,21.938180162530102,23.82,24.331000620335544,0.0,8.214603708467052,0.0,130.40256914664315,2016.0,4.0,10.0,6.0,101.0,2016-04-10,Mumbai
58.71,147.2,41.43,57.73,81.08874999999999,9.31,0.64,3.22,7.9,152.0,2018.0,2.0,5.0,0.0,36.0,2018-02-05,Amritsar
103.62,184.75786725114676,18.89,67.36,48.76,17.38,1.19,7.92,0.3,183.0,2019.0,2.0,25.0,0.0,56.0,2019-02-25,Lucknow
48.17249282420211,113.33,6.41,6.78,9.164923946624185,6.57,0.3,22.49,6.48080620950509,123.0,2018.0,7.0,7.0,5.0,188.0,2018-07-07,Jorapokhar
80.78,122.62,4.28,29.97,18.88,14.36,1.11,4.71,0.0,166.0,2017.0,1.0,20.0,4.0,20.0,2017-01-20,Visakhapatnam
64.73,182.68,41.43,28.4,81.08874999999999,20.879911757664104,2.86,22.73,8.63735585117115,166.0,2019.0,2.0,20.0,2.0,51.0,2019-02-20,Mumbai
39.03,73.5,41.43,8.79,42.01,38.3,1.66,29.545,0.0,98.0,2018.0,5.0,1.0,1.0,121.0,2018-05-01,Talcher
36.65,78.24298126051258,13.86,18.11,16.63,62.17999999999999,0.8,11.24,0.01,100.0,2017.0,10.0,25.0,2.0,298.0,2017-10-25,Chennai
65.27696325548482,131.18783961344184,12.89767597709908,22.131645720251072,25.009154016648154,24.726830775109192,1.0904826674916166,9.744283925402897,0.0,162.90873863775687,2017.0,1.0,29.0,6.0,29.0,2017-01-29,Ahmedabad
158.245,294.0023222371642,41.43,62.1,76.25,55.7,1.81,10.83,1.76,398.5,2017.0,11.0,13.0,0.0,317.0,2017-11-13,Lucknow
92.4,232.53,8.21,22.49,24.53,7.61,2.7,13.12,6.308888200886599,141.0,2018.0,5.0,9.0,2.0,129.0,2018-05-09,Brajrajnagar
9.42046957089841,20.45,7.36,12.39,14.988472811705833,15.729909299916244,0.05,6.15,1.3855666948610406,26.036434475452552,2017.0,7.0,5.0,2.0,186.0,2017-07-05,Jorapokhar
60.38,98.67,17.72,76.42499999999998,68.13,29.950824128671,2.86,29.545,21.975,398.5,2019.0,11.0,24.0,6.0,328.0,2019-11-24,Ahmedabad
8.62,29.16,2.02,8.07,5.93,3.99,1.08,4.19,3.020408228206861,60.0,2017.0,12.0,2.0,5.0,336.0,2017-12-02,Thiruvananthapuram
6.42,32.48210488489008,17.25,29.0,32.826203177215575,21.584103003970085,0.75,2.46,0.0,39.785915190181186,2017.0,8.0,28.0,0.0,240.0,2017-08-28,Gurugram
95.09,162.36389397361268,7.6,22.47,17.44,28.0,0.91,5.59,2.86,174.0,2019.0,6.0,4.0,1.0,155.0,2019-06-04,Lucknow
122.16,214.57735496684904,32.03,21.5,37.11,25.89,2.61,10.78,21.975,203.0,2015.0,10.0,13.0,1.0,286.0,2015-10-13,Chennai
16.28,146.31899018974082,26.67,57.19,47.8,25.97651318225985,2.86,29.545,16.02,398.5,2018.0,9.0,12.0,2.0,255.0,2018-09-12,Ahmedabad
63.41,96.78,5.24,8.98,12.78,10.26,0.86,6.13,4.04,126.0,2016.0,3.0,14.0,0.0,74.0,2016-03-14,Hyderabad
26.04,44.89,6.58,18.76,30.9,6.2,0.54,16.06,6.034410883056125,79.0,2019.0,5.0,31.0,4.0,151.0,2019-05-31,Guwahati
158.245,290.70517336800026,8.23,48.23,28.58,36.18,0.42,8.98,0.0,398.5,2018.0,5.0,14.0,0.0,134.0,2018-05-14,Lucknow
29.21,130.06,10.51,19.75,18.92,12.63,0.84,9.12,5.45,111.0,2019.0,5.0,16.0,3.0,136.0,2019-05-16,Visakhapatnam
46.03,95.57,4.18,20.92,13.28,11.64,1.02,29.545,6.39,113.0,2016.0,12.0,11.0,6.0,346.0,2016-12-11,Visakhapatnam
52.57845915221071,106.46402640906717,10.548834663753174,19.393445223023036,20.844976489396004,22.046345984435447,0.0,8.403426662570382,0.0,113.70994693280772,2017.0,2.0,26.0,6.0,57.0,2017-02-26,Mumbai
17.1567457981204,38.25,6.27,6.6,10.469772760413889,13.508297939679096,0.13,11.17,2.4026104918578994,48.90057644429453,2017.0,8.0,25.0,4.0,237.0,2017-08-25,Jorapokhar
48.6,106.14,24.79,31.1,55.91,18.705589895764206,1.76,20.49,8.051380793141789,109.0,2018.0,10.0,8.0,0.0,281.0,2018-10-08,Mumbai
15.1,36.13,9.48,14.19,8.64,6.12,0.25,5.1,1.92,67.0,2017.0,8.0,12.0,5.0,224.0,2017-08-12,Hyderabad
17.96,47.61,5.68,14.95,12.66,14.75,0.69,6.51,0.12,73.0,2018.0,7.0,21.0,5.0,202.0,2018-07-21,Amaravati
103.22,252.81394012689816,41.43,76.42499999999998,62.88,36.2343727813568,2.86,29.545,21.975,398.5,2018.0,11.0,3.0,5.0,307.0,2018-11-03,Ahmedabad
158.245,303.83544661935844,26.43,48.77,29.5,36.63300475997926,2.6,29.545,2.96,371.0,2018.0,1.0,1.0,0.0,1.0,2018-01-01,Patna
71.26,119.24434495334458,6.84,31.43,21.87,34.79,1.15,4.71,1.89,115.0,2019.0,6.0,24.0,0.0,175.0,2019-06-24,Lucknow
158.245,286.62060707974615,41.43,43.96,81.08874999999999,44.08586092606856,2.51,7.72,1.41,398.5,2015.0,12.0,28.0,0.0,362.0,2015-12-28,Patna
65.3667288035661,136.81690627436296,14.317281755584725,26.972453198686367,28.928618877014742,23.315668627019704,1.1165796756420197,12.184474111658005,5.524365304470166,166.64105111616482,2018.0,1.0,14.0,6.0,14.0,2018-01-14,Talcher
69.14,111.56,41.43,44.32,59.52,14.61,0.85,11.87,3.27,208.0,2020.0,5.0,16.0,5.0,137.0,2020-05-16,Gurugram
105.69031052580253,204.68135070169615,37.78863274525176,49.909310378366854,81.08874999999999,36.49200810121897,2.86,12.896440480586648,0.0,270.0463899648994,2018.0,1.0,3.0,2.0,3.0,2018-01-03,Mumbai
149.73,289.98,41.43,76.42499999999998,72.79,62.17999999999999,1.42,28.15,15.38,362.0,2017.0,2.0,28.0,1.0,59.0,2017-02-28,Delhi
18.4,48.73620284862909,7.44,14.22,15.845142932230146,17.789132736492093,1.23,4.29,2.15,64.0,2017.0,7.0,9.0,6.0,190.0,2017-07-09,Lucknow
106.01,200.53776299641413,4.28,27.31,30.54,21.47285445845887,2.86,29.545,15.54,252.0,2015.0,3.0,12.0,3.0,71.0,2015-03-12,Ahmedabad
39.22,71.7186524892079,3.52,21.73,31.32,18.83704409078655,0.91,5.54,1.24,82.0,2018.0,4.0,28.0,5.0,118.0,2018-04-28,Bengaluru
158.245,289.98,39.61,20.99,46.27,36.81662753597084,1.52,6.69,4.1894961477944435,328.0,2018.0,2.0,2.0,4.0,33.0,2018-02-02,Gurugram
55.76,85.33,11.63,59.47,18.69,38.92,0.51,29.545,0.57,105.0,2016.0,11.0,21.0,0.0,326.0,2016-11-21,Hyderabad
54.06,104.74,4.22,51.33,28.19,18.389338866595835,2.86,29.545,21.975,219.0,2020.0,2.0,23.0,6.0,54.0,2020-02-23,Ahmedabad
41.25,254.96,17.11,0.53,17.61,3.17,0.56,5.04,7.182647067069979,194.45014499987064,2020.0,6.0,10.0,2.0,162.0,2020-06-10,Brajrajnagar
117.76,197.76649634706519,4.28,29.4,22.07,34.29,0.58,7.28,0.0,225.0,2018.0,6.0,4.0,0.0,155.0,2018-06-04,Lucknow
43.86,76.69,23.12,38.29,60.55,32.22,2.13,9.81,19.87,140.0,2016.0,8.0,6.0,5.0,219.0,2016-08-06,Delhi
77.33,131.75409184640853,6.96,31.24,28.62,7.72,0.95,7.67,3.59,135.0,2017.0,9.0,30.0,5.0,273.0,2017-09-30,Lucknow
66.21,107.1,29.48,41.29,42.14,14.6,1.28,7.78,9.67,107.0,2017.0,1.0,12.0,3.0,12.0,2017-01-12,Visakhapatnam
66.17,149.74497132679153,16.76,21.01,37.77,29.164100289671524,1.34,2.41,0.74,264.0,2016.0,5.0,29.0,6.0,150.0,2016-05-29,Patna
14.26,45.16,41.43,22.37,81.08874999999999,14.0,1.74,12.05,0.0,109.0,2020.0,5.0,30.0,5.0,151.0,2020-05-30,Kochi
28.38,59.53909598656901,6.09,22.83,18.49,35.72,2.21,2.97,2.3,82.0,2015.0,9.0,22.0,1.0,265.0,2015-09-22,Bengaluru
21.490568175955886,59.99,7.24,7.47,10.629685736821557,6.63,0.33,21.44,5.498795876769691,66.0,2018.0,7.0,17.0,1.0,198.0,2018-07-17,Jorapokhar
18.09,71.69,41.43,22.31,64.82,16.328261202227168,1.84,24.63,7.574315450190511,97.0,2019.0,4.0,23.0,1.0,113.0,2019-04-23,Mumbai
127.75,224.02,27.87,46.76,52.38,39.61,1.22,18.24,18.7,244.0,2020.0,2.0,25.0,1.0,56.0,2020-02-25,Delhi
42.62,77.31,6.45,29.87,24.4,22.15255451425037,0.82,4.05,1.94,82.0,2018.0,4.0,24.0,1.0,114.0,2018-04-24,Bengaluru
57.53,128.81,1.94,25.03,14.88,33.72,0.78,25.39,3.02,117.0,2018.0,2.0,16.0,4.0,47.0,2018-02-16,Amaravati
